,Name,Tags
187,Suki Waterhouse,indiepop electronic femalevocalists downtempo british
188,The Cardigans,pop rock femalevocalists swedish alternative
189,Korn,NuMetal metal alternative rock Nu-metal
190,Blur,britpop rock indie alternative british
191,Vansire,dreampop indiepop Lo-Fi indie bedroompop
192,Artemas,pop british rnb seenlive indie
193,The Police,rock classicrock 80s newwave pop
194,Glass Animals,electronic seenlive trip-hop indie british
195,Chase Atlantic,rnb australian seenlive indie rock
196,Pierce The Veil,post-hardcore emocore emo experimental seenlive
197,Bad Bunny,Reggaeton latin trap puertorico rap
198,Chris Brown,rnb Hip-Hop ChrisBrown rap hiphop
199,Young Thug,trap Hip-Hop rap hiphop atlanta
200,Foster the People,indie indiepop alternative american seenlive
201,Slowdive,shoegaze dreampop ambient indie shoegazer
202,Limp Bizkit,NuMetal rapcore rock alternative metal
203,Selena Gomez,pop femalevocalists Disney poprock SelenaGomez
204,Gigi Perez,USA bedroompop
205,OneRepublic,rock poprock alternative alternativerock indie
206,Led Zeppelin,classicrock rock hardrock 70s Progressiverock
207,TWICE,k-pop Kpop Korean pop girlgroup
208,AdriAnne Lenker,singer-songwriter indiefolk folk femalevocalists indie
209,Aphex Twin,electronic idm ambient experimental electronica
210,Talking Heads,newwave post-punk 80s rock alternative
211,Gwen Stefani,pop femalevocalists dance rock alternative
212,Sam Smith,soul pop british electronic seenlive
213,Salvia Palth,Lo-Fi slowcore dreampop shoegaze indie
214,Lord Huron,folk seenlive indie psychedelic indiepop
215,Fiona Apple,femalevocalists singer-songwriter alternative piano indie
216,Marshmello,electronic dance trap EDM pop
217,Strawberry Guy,dreampop british indiepop bedroompop shoegaze
218,Evanescence,rock GothicRock femalevocalists Gothic alternative
219,Demi Lovato,pop poprock femalevocalists Disney guiltypleasure
220,Mariah Carey,pop rnb femalevocalists soul MariahCarey
221,Thundercat,funk electronic jazz soul seenlive
222,$uicideboy$,cloudrap Hip-Hop trap rap Horrorcore
223,Bryson Tiller,rnb Hip-Hop trap rap soul
224,Black Sabbath,heavymetal hardrock classicrock metal rock
225,Rex Orange County,indiepop rnb seenlive pop jazz
226,Jeff Buckley,singer-songwriter rock alternative indie folk
227,Joey Bada$$,Hip-Hop rap undergroundhip-hop hiphop newyork
228,Red Velvet,k-pop Kpop Korean pop femalevocalists
229,The Offspring,punkrock punk rock alternative alternativerock
230,AC/DC,hardrock classicrock rock heavymetal metal
231,Alice in Chains,Grunge rock alternativerock hardrock alternative
232,Depeche Mode,electronic newwave 80s synthpop synthpop
233,Willow,post-rock pop rnb alternative femalevocalists
234,"Earth, Wind & Fire",funk soul Disco 70s rnb
235,The Goo Goo Dolls,rock alternativerock alternative 90s pop
236,Sia,femalevocalists chillout indie trip-hop downtempo
237,PARTYNEXTDOOR,rnb r&b soul Hip-Hop canada
238,Cults,indiepop Lo-Fi experimental seenlive noise
239,Creedence Clearwater Revival,classicrock rock SouthernRock 60s folk
240,5 Seconds of Summer,poprock poppunk rock pop australian
241,Matt Maltese,pop singer-songwriter indiepop indie british
242,Crystal Castles,electronic 8-bit newrave electro seenlive
243,Mother Mother,indie Canadian indiepop experimental folk
244,Bee Gees,Disco pop 70s classicrock oldies
245,Current Joys,indie indiepop indierock emo Lo-Fi
246,Khalid,rnb pop soul alternative alternativernb
247,Guns N' Roses,hardrock rock classicrock 80s metal
248,MAGDALENA BAY,synthpop electropop indiepop dreampop pop
249,The Chainsmokers,electronic pop House electrohouse dance
250,Zayn,pop rnb british malevocalists sexy
251,Elliott Smith,singer-songwriter indie folk acoustic indierock
252,Tove Lo,pop swedish electronic femalevocalists indie
253,Kodak Black,trap Hip-Hop rap hiphop florida
254,Lil Nas X,Hip-Hop rap trap countryrap seenlive
255,Jordana,indierock seenlive indie pop indiepop
256,Denzel Curry,Hip-Hop rap hiphop trap cloudrap
257,Duster,slowcore spacerock shoegaze indierock dronerock
258,LUCKI,dance pop swedish femalevocalists trap
259,Three Days Grace,alternativerock rock alternative hardrock metal
260,The walters,indierock indie indiepop bluesrock USA
261,Rosalía,pop Flamenco seenlive spanish spain
262,Marvin Gaye,soul motown funk rhythmandblues rnb
263,The Doors,classicrock PsychedelicRock rock psychedelic 60s
264,Jung Kook,k-pop pop Korean worstof2024 Kpop
265,Zach Bryan,country singer-songwriter americana Alt-country countryrock
266,The Clash,punk punkrock british rock classicrock
267,Flo Rida,Hip-Hop rap hiphop DirtySouth southernrap
268,Cardi B,Hip-Hop rap trap hiphop american
269,The White Stripes,rock alternative alternativerock indie indierock
270,Charlie Puth,pop rnb soul USA american
271,Lil Baby,rap Hip-Hop hiphop trap atlanta
272,Yeah Yeah Yeahs,indie indierock femalevocalists alternative rock
273,Pharrell Williams,Hip-Hop rnb rap hiphop seenlive
274,Carly Rae Jepsen,pop Canadian femalevocalists folk acoustic
275,JPEGMAFIA,Hip-Hop seenlive experimental glitchhop experimentalhip-hop
276,BLACKPINK,k-pop Kpop pop Korean girlgroup
277,Kings of Leon,rock indie indierock alternative seenlive
278,Labrinth,electronic british rnb dance r&b
279,Odetari,ass hyperpop jerseyclub USA Trash
280,Pinegrove,indierock Alt-country seenlive indie emo
281,Pearl Jam,Grunge rock alternativerock alternative 90s
282,Ethel Cain,dreampop seenlive slowcore ethereal mother
283,Summer Walker,rnb soul Neo-Soul femalevocalists trap
284,NLE Choppa,trap rap Hip-Hop hiphop memphis
285,Boygenius,seenlive indie indiefolk indierock folk
286,Blood Orange,chillwave indie seenlive rnb alternativernb
287,Lizzy McAlpine,folk indiefolk indiepop singer-songwriter seenlive
288,Franz Ferdinand,indie indierock rock alternative seenlive
289,The Mamas & the Papas,classicrock 60s oldies rock pop
290,Alicia Keys,soul rnb femalevocalists pop singer-songwriter
291,Orion Sun,Lo-Fi indie soul rnb alternativernb
292,Quavo,rap trap Hip-Hop migos atlanta
293,Bob Dylan,folk singer-songwriter classicrock folkrock rock
294,Katseye,pop rnb k-pop GirlGroups katseye
295,Sixpence None the Richer,pop femalevocalists rock alternative christian
296,Benson Boone,pop poprock rock USA malevocalists
297,Elvis Presley,rocknroll classicrock rock oldies RockandRoll
298,Madvillain,Hip-Hop undergroundhip-hop rap hiphop mfdoom
299,Snoop Dogg,Hip-Hop rap GangstaRap hiphop westcoast
300,Billy Idol,rock 80s newwave classicrock punk
301,Måneskin,rock glamrock italian seenlive alternativerock
302,P!nk,pop poprock femalevocalists rock female
303,Mark Ronson,funk pop british Hip-Hop dj
304,Avicii,House electronic dance ProgressiveHouse electrohouse
305,Stevie Wonder,soul funk motown pop rnb
306,BROCKHAMPTON,Hip-Hop rap hiphop poprap seenlive
307,Ellie Goulding,femalevocalists electronic british indie indiepop
308,Jungle,seenlive electronic psychedelic techno jungle
309,Clean Bandit,electronic indie experimental seenlive british
310,Jid,rap Hip-Hop hiphop seenlive ConsciousHipHop
311,Disclosure,electronic seenlive UKGarage futuregarage House
312,Dr. Dre,Hip-Hop rap GangstaRap hiphop westcoast
313,Eagles,classicrock rock 70s softrock country
314,Tinashe,rnb pop soul Hip-Hop british
315,Madison Beer,pop femalevocalists rnb indie USA
316,The Alchemist,Hip-Hop rap producer hiphop dj
317,The Lumineers,folk indie folkrock american rock
318,Two Door Cinema Club,indie electronic british alternative seenlive
319,Illit,k-pop Kpop Korean pop girlgroup
320,Natasha Bedingfield,pop femalevocalists british singer-songwriter female
321,Timbaland,Hip-Hop rnb rap pop hiphop
322,Nas,Hip-Hop rap hiphop eastcoastrap newyork
323,Offset,trap Hip-Hop rap hiphop ambient
324,The Velvet Underground,rock classicrock psychedelic proto-punk alternative
325,ScHoolboy Q,Hip-Hop rap undergroundhip-hop WestCoastRap seenlive
326,TOMORROW X TOGETHER,k-pop Kpop pop Korean txt
327,Toto,rock classicrock 80s Progressiverock pop
